Taxon	Kleb_Pneu_UCI69_V1	Kleb_Pneu_UCI70_V1	Kleb_Pneu_UCI75_V1	Kleb_Pneu_UCI76_V1	Kleb_Pneu_UCI81_V1	Kleb_Pneu_UCI82_V1	Kleb_Pneu_UCI91_V1	Kleb_Pneu_UCI92_V1	Kleb_Pneu_UCI93_V1	Kleb_Pneu_UCI94_V1	Kleb_Pneu_UCI95_V1	Kleb_Pneu_UCI96_V1	Kleb_pneu_BIDMC122	Kleb_pneu_BIDMC123	Kleb_pneu_BIDMC124	Kleb_pneu_BIDMC85_V1	Kleb_pneu_BIDMC86_V1	Kleb_pneu_BIDMC89_V1	Kleb_pneu_BIDMC91_V1	Kleb_pneu_BIDMC96_V1	Kleb_pneu_BIDMC_10_V1	Kleb_pneu_BIDMC_11_V1	Kleb_pneu_BIDMC_12A_V1	Kleb_pneu_BIDMC_12B_V1	Kleb_pneu_BIDMC_12C_V1	Kleb_pneu_BIDMC_13_V1	Kleb_pneu_BIDMC_14_V1	Kleb_pneu_BIDMC_16_V1	Kleb_pneu_BIDMC_18A_V1	Kleb_pneu_BIDMC_18B_V1	Kleb_pneu_BIDMC_18C_V1	Kleb_pneu_BIDMC_18D_V1	Kleb_pneu_BIDMC_1_V1	Kleb_pneu_BIDMC_21_V1	Kleb_pneu_BIDMC_22_V1	Kleb_pneu_BIDMC_23_V1	Kleb_pneu_BIDMC_24_V1	Kleb_pneu_BIDMC_25_V1	Kleb_pneu_BIDMC_2A_V1	Kleb_pneu_BIDMC_31_V1	Kleb_pneu_BIDMC_32_V1	Kleb_pneu_BIDMC_33B_V1	Kleb_pneu_BIDMC_34_V1	Kleb_pneu_BIDMC_35_V1	Kleb_pneu_BIDMC_36_V1	Kleb_pneu_BIDMC_40_V1	Kleb_pneu_BIDMC_41_V1	Kleb_pneu_BIDMC_42a_V1	Kleb_pneu_BIDMC_42b_V1	Kleb_pneu_BIDMC_45_V1	Kleb_pneu_BIDMC_46a_V1	Kleb_pneu_BIDMC_46b_V1	Kleb_pneu_BIDMC_47_V1	Kleb_pneu_BIDMC_48_V1	Kleb_pneu_BIDMC_4_V1	Kleb_pneu_BIDMC_51_V1	Kleb_pneu_BIDMC_52_V1	Kleb_pneu_BIDMC_53_V1	Kleb_pneu_BIDMC_54_V1	Kleb_pneu_BIDMC_55_V1	Kleb_pneu_BIDMC_5_V1	Kleb_pneu_BIDMC_60_V1	Kleb_pneu_BIDMC_68_V1	Kleb_pneu_BIDMC_69_V1	Kleb_pneu_BIDMC_7A_V1	Kleb_pneu_BIDMC_7B_V1	Kleb_pneu_BWH53_V1	Kleb_pneu_BWH58_V1	Kleb_pneu_BWH62_V1	Kleb_pneu_BWH66_V1	Kleb_pneu_BWH67_V1	Kleb_pneu_BWH_15_V1	Kleb_pneu_BWH_22_V1	Kleb_pneu_BWH_28_V1	Kleb_pneu_BWH_2_V1	Kleb_pneu_BWH_30_V1	Kleb_pneu_BWH_36_V1	Kleb_pneu_BWH_41_V1	Kleb_pneu_BWH_45_V1	Kleb_pneu_BWH_46_V1	Kleb_pneu_BWH_47_V1	Kleb_pneu_BWH_48_V1	Kleb_pneu_BWH_78	Kleb_pneu_MGH101_V1	Kleb_pneu_MGH102_V1	Kleb_pneu_MGH111_V1	Kleb_pneu_MGH112_V1	Kleb_pneu_MGH115_V1	Kleb_pneu_MGH116_V1	Kleb_pneu_MGH117_V1	Kleb_pneu_MGH118_V1	Kleb_pneu_MGH124_V1	Kleb_pneu_MGH125_V1	Kleb_pneu_MGH126_V1	Kleb_pneu_MGH133_V1	Kleb_pneu_MGH134_V1	Kleb_pneu_MGH140_V1	Kleb_pneu_MGH147_V1	Kleb_pneu_MGH148_V1	Kleb_pneu_MGH149_V1	Kleb_pneu_MGH150	Kleb_pneu_MGH153_V1	Kleb_pneu_MGH155_V1	Kleb_pneu_MGH156_V1	Kleb_pneu_MGH157_V1	Kleb_pneu_MGH158_V1	Kleb_pneu_MGH161_V1	Kleb_pneu_MGH162_V1	Kleb_pneu_MGH165_V1	Kleb_pneu_MGH166_V1	Kleb_pneu_MGH167_V1	Kleb_pneu_MGH168_V1	Kleb_pneu_MGH171_V1	Kleb_pneu_MGH172_V1	Kleb_pneu_MGH181_V1	Kleb_pneu_MGH182	Kleb_pneu_MGH185_V1	Kleb_pneu_MGH186_V1	Kleb_pneu_MGH189	Kleb_pneu_MGH190	Kleb_pneu_MGH191	Kleb_pneu_MGH192	Kleb_pneu_MGH193	Kleb_pneu_MGH201	Kleb_pneu_MGH202	Kleb_pneu_MGH203	Kleb_pneu_MGH204	Kleb_pneu_MGH205	Kleb_pneu_MGH206	Kleb_pneu_MGH211	Kleb_pneu_MGH221	Kleb_pneu_MGH222	Kleb_pneu_MGH227	Kleb_pneu_MGH228	Kleb_pneu_MGH229	Kleb_pneu_MGH230	Kleb_pneu_MGH235	Kleb_pneu_MGH251	Kleb_pneu_MGH252	Kleb_pneu_MGH81_V1	Kleb_pneu_MGH82_V1	Kleb_pneu_MGH83	Kleb_pneu_MGH84_V1	Kleb_pneu_MGH89_V1	Kleb_pneu_MGH90_V1	Kleb_pneu_MGH91_V1	Kleb_pneu_MGH93_V1	Kleb_pneu_MGH94_V1	Kleb_pneu_MGH95_V1	Kleb_pneu_MGH97_V1	Kleb_pneu_MGH98_V1	Kleb_pneu_MGH_17_V1	Kleb_pneu_MGH_18_V1	Kleb_pneu_MGH_19_V1	Kleb_pneu_MGH_21_V1	Kleb_pneu_MGH_29_V1	Kleb_pneu_MGH_30_V1	Kleb_pneu_MGH_31_V1	Kleb_pneu_MGH_32_V1	Kleb_pneu_MGH_35_V1	Kleb_pneu_MGH_36_V1	Kleb_pneu_MGH_39_V1	Kleb_pneu_MGH_43_V1	Kleb_pneu_MGH_45_V1	Kleb_pneu_MGH_46_V1	Kleb_pneu_MGH_47_V1	Kleb_pneu_MGH_48_V1	Kleb_pneu_MGH_51_V1	Kleb_pneu_MGH_52_V1	Kleb_pneu_MGH_59_V1	Kleb_pneu_MGH_60_V1	Kleb_pneu_MGH_63_V1	Kleb_pneu_MGH_64_V1	Kleb_pneu_MGH_65_V1	Kleb_pneu_MGH_66_V1	Kleb_pneu_MGH_67_V1	Kleb_pneu_MGH_69_V1	Kleb_pneu_MGH_70_V1	Kleb_pneu_MGH_71_V1	Kleb_pneu_MGH_72_V1	Kleb_pneu_MGH_73_V1	Kleb_pneu_MGH_74_V1	Kleb_pneu_MGH_75_V1	Kleb_pneu_MGH_79_V1	Kleb_pneu_UCI105_V1	Kleb_pneu_UCI106_V1	Kleb_pneu_UCI107_V1	Kleb_pneu_UCI108_V1	Kleb_pneu_UCI109_V1	Kleb_pneu_UCI110_V1	Kleb_pneu_UCI111_V1	Kleb_pneu_UCI112_V1	Kleb_pneu_UCI113_V1	Kleb_pneu_UCI114_V1	Kleb_pneu_UCI115_V1	Kleb_pneu_UCI116_V1	Kleb_pneu_UCI117_V1	Kleb_pneu_UCI118_V1	Kleb_pneu_UCI149	Kleb_pneu_UCI150	Kleb_pneu_UCI163	Kleb_pneu_UCI164	Kleb_pneu_UCI171	Kleb_pneu_UCI172	Kleb_pneu_UCI177	Kleb_pneu_UCI181	Kleb_pneu_UCI182	Kleb_pneu_UCI185	Kleb_pneu_UCI186	Kleb_pneu_UCI187	Kleb_pneu_UCI188	Kleb_pneu_UCI189	Kleb_pneu_UCI190	Kleb_pneu_UCICRE-123	Kleb_pneu_UCICRE-124	Kleb_pneu_UCICRE-125	Kleb_pneu_UCICRE-126	Kleb_pneu_UCICRE-130	Kleb_pneu_UCICRE-133	Kleb_pneu_UCICRE-134	Kleb_pneu_UCICRE-137	Kleb_pneu_UCICRE-138	Kleb_pneu_UCICRE-139	Kleb_pneu_UCICRE-140	Kleb_pneu_UCICRE-145	Kleb_pneu_UCI_13_V1	Kleb_pneu_UCI_17_V1	Kleb_pneu_UCI_19_V1	Kleb_pneu_UCI_1_V1	Kleb_pneu_UCI_20_V1	Kleb_pneu_UCI_21_V1	Kleb_pneu_UCI_22_V1	Kleb_pneu_UCI_25_V1	Kleb_pneu_UCI_26_V1	Kleb_pneu_UCI_2_V1	Kleb_pneu_UCI_33_V1	Kleb_pneu_UCI_34_V1	Kleb_pneu_UCI_37_V1	Kleb_pneu_UCI_38_V1	Kleb_pneu_UCI_41_V1	Kleb_pneu_UCI_42_V1	Kleb_pneu_UCI_43_V1	Kleb_pneu_UCI_44_V1	Kleb_pneu_UCI_4_V1	Kleb_pneu_UCI_55_V1	Kleb_pneu_UCI_56_V1	Kleb_pneu_UCI_59_V1	Kleb_pneu_UCI_60_V1	Kleb_pneu_UCI_61_V1	Kleb_pneu_UCI_62_V1	Kleb_pneu_UCI_63_V1	Kleb_pneu_UCI_64_V1	Kleb_pneu_UCI_67_V1	Kleb_pneu_UCI_68_V1	Kleb_pneu_UCI_6_V1	Kleb_pneu_UCI_7_V1	Kleb_pneu_UCI_8_V1
Kleb_pneu_BIDMC_2A_V1	5	2166	9	2240	10	1970	11	2235	11	2535	6	2203	2188	2212	2212	2199	2206	2220	2219	1976	0	2188	4	2	3	0	4	0	1	0	0	2063	8	2062	2168	2251	2129	2145	0	2124	0	2212	1	2218	2199	2109	2065	6	6	1	2066	2098	2221	2065	2	2092	2044	2066	5	2175	0	2	2	2209	7	6	3	2219	2113	2219	2250	2054	8	2236	2264	2195	5	11	3	2092	5	2205	2159	2202	1970	2208	2073	2209	2246	2210	2046	2187	9	2212	2208	2055	5	2048	2047	2048	2192	14	2209	2256	2201	2204	2048	2047	2215	2010	2047	2217	2207	1976	5	2236	2181	2055	2027	2047	2209	3087	2074	2209	2139	2209	2162	2111	2535	2204	2204	2193	2172	2208	2235	2183	2234	2222	2133	2208	1983	2053	2242	2244	2124	3	2248	2209	3	2269	2212	2189	2226	2423	2241	0	2073	10	2251	2245	2264	2083	2105	9	2180	2065	2173	5	2266	12	2200	2208	2275	2208	2125	2	59	2242	4	1981	3	2106	2208	9	7	2069	2221	2269	18	2205	2199	3114	22	2224	47	2210	15	2078	2214	1983	8	2071	14	2148	13	2224	2331	7	2174	1976	2226	2228	2252	2178	2223	2105	2239	2169	3	2033	9	2253	3	2176	9	18	44	12	4	2085	16	9	2056	2158	1986	11	2146	18	9	10	2231	11	11	2180	11	2190	14	2101	12	2105	12	2215	6	2052	2232	2206	2079
Kleb_pneu_BIDMC_31_V1	2129	2205	2133	2249	2134	2109	2135	2260	2135	2616	2130	2191	2169	2198	2198	2221	2231	2139	2213	2140	2124	2205	2128	2126	2127	2124	2128	2124	2125	2124	2124	2162	2130	2161	2219	2334	2150	2227	2124	0	2124	2198	2125	2135	2255	2060	2164	2130	2130	2125	2165	2222	2266	2156	2126	2197	2127	2165	2129	2233	2124	2126	2126	2203	2131	2130	2127	2213	2160	2213	2281	2201	2132	2299	2267	2217	2129	2133	2127	2080	2129	2165	2093	2188	2109	2194	2185	2195	2329	2196	2131	2204	2133	2209	2194	2212	2129	2133	2132	2133	2221	2136	2195	2229	2218	2262	2133	2132	2209	2167	2132	2131	2193	2115	2129	2178	2198	2145	2146	2132	2195	3057	2183	2195	2181	2195	2143	2222	2613	2258	2208	2179	2149	2129	2232	2199	2231	2293	2091	2194	2137	2143	2323	2337	2132	2127	2337	2231	2127	2304	2232	2148	2219	2449	2324	2124	2149	2134	2334	2338	2268	2163	2216	2133	2187	2164	2150	2129	2299	2134	2162	2194	2280	2194	2207	2126	2137	2239	2128	2139	2127	2140	2194	2133	2131	2147	2208	2274	2142	2227	1735	3109	2146	2260	2171	2196	2139	2122	2200	2137	2132	2158	2137	2169	2137	2218	2291	2131	2204	2115	2279	2222	2309	2035	2220	2216	2328	2195	2127	2108	2133	2286	2127	2226	2133	2142	2130	2136	2128	2194	2140	2133	2077	2198	2142	2135	2100	2142	2133	2134	2284	2135	2135	2187	2135	1726	2138	1980	2136	2063	2136	2136	2130	2132	2285	2129	2162
Kleb_pneu_BIDMC_32_V1	5	2166	9	2240	10	1970	11	2235	11	2535	6	2203	2188	2212	2212	2199	2206	2220	2219	1976	0	2188	4	2	3	0	4	0	1	0	0	2063	8	2062	2168	2251	2129	2145	0	2124	0	2212	1	2218	2199	2109	2065	6	6	1	2066	2098	2221	2065	2	2092	2044	2066	5	2175	0	2	2	2209	7	6	3	2219	2113	2219	2250	2054	8	2236	2264	2195	5	11	3	2092	5	2205	2159	2202	1970	2208	2073	2209	2246	2210	2046	2187	9	2212	2208	2055	5	2048	2047	2048	2192	14	2209	2256	2201	2204	2048	2047	2215	2010	2047	2217	2207	1976	5	2236	2181	2055	2027	2047	2209	3087	2074	2209	2139	2209	2162	2111	2535	2204	2204	2193	2172	2208	2235	2183	2234	2222	2133	2208	1983	2053	2242	2244	2124	3	2248	2209	3	2269	2212	2189	2226	2423	2241	0	2073	10	2251	2245	2264	2083	2105	9	2180	2065	2173	5	2266	12	2200	2208	2275	2208	2125	2	59	2242	4	1981	3	2106	2208	9	7	2069	2221	2269	18	2205	2199	3114	22	2224	47	2210	15	2078	2214	1983	8	2071	14	2148	13	2224	2331	7	2174	1976	2226	2228	2252	2178	2223	2105	2239	2169	3	2033	9	2253	3	2176	9	18	44	12	4	2085	16	9	2056	2158	1986	11	2146	18	9	10	2231	11	11	2180	11	2190	14	2101	12	2105	12	2215	6	2052	2232	2206	2079
Kleb_pneu_BIDMC_33B_V1	2217	2096	2221	2314	2222	2123	2223	2152	2223	2612	2218	57	2222	2	2	2205	2214	2242	2223	2158	2212	827	2216	2214	2215	2212	2216	2212	2213	2212	2212	2218	2219	2217	2198	2308	2260	2117	2212	2198	2212	0	2213	2240	2299	2170	2220	2218	2218	2213	2221	2233	2091	2216	2214	2191	2152	2221	2217	2219	2212	2214	2214	2246	2219	2218	2215	2223	2163	2223	2102	2252	2220	2230	2194	2232	2217	2222	2215	2145	2217	2224	2189	16	2123	16	2212	17	2301	18	2168	826	2221	2130	16	2255	2217	2170	2169	2170	2146	2225	17	2291	840	2244	2170	2169	2219	2225	2169	2211	19	2129	2217	2106	2144	2220	2125	2169	17	3130	2167	17	2245	17	2122	2246	2612	2266	2238	45	2225	2232	2263	2146	2262	2145	2172	16	2175	2218	2297	2336	2157	2215	2340	2217	2215	2360	2234	2271	2252	2433	2298	2212	2248	2222	2308	2337	2169	2236	2240	2221	765	2220	2226	2217	2361	2223	2219	16	2182	16	2212	2214	2218	2270	2216	2177	2215	2219	16	2221	2219	2236	2250	2174	2230	2213	2265	3150	2234	2303	2259	18	2227	2211	26	2175	2220	2154	2226	1945	2225	2228	2334	2219	2304	2129	2292	2232	2294	2194	2251	2240	2331	2068	2215	2193	2221	2346	2215	2332	2221	2230	2213	2224	2216	2178	2228	2221	2141	2280	2179	2223	2181	2230	2221	2222	2297	2223	2223	765	2223	2256	2226	2167	2224	2171	2224	2239	2218	2217	2298	2224	2235
Kleb_pneu_BIDMC_34_V1	6	2167	10	2241	11	1971	12	2234	12	2534	7	2204	2189	2213	2213	2200	2207	2221	2220	1977	1	2189	5	3	4	1	5	1	0	1	1	2064	9	2063	2169	2252	2130	2146	1	2125	1	2213	0	2219	2200	2110	2066	7	7	0	2067	2099	2222	2066	3	2093	2045	2067	6	2176	1	3	3	2210	8	7	4	2220	2114	2220	2251	2055	9	2237	2265	2194	6	12	4	2093	6	2206	2160	2203	1971	2209	2074	2210	2247	2211	2047	2188	10	2213	2209	2056	6	2049	2048	2049	2193	15	2210	2257	2202	2205	2049	2048	2216	2011	2048	2216	2208	1977	6	2237	2182	2056	2028	2048	2210	3086	2075	2210	2140	2210	2161	2112	2534	2205	2205	2194	2173	2209	2236	2184	2235	2223	2134	2209	1984	2054	2243	2245	2125	4	2249	2210	4	2270	2213	2190	2227	2424	2242	1	2074	11	2252	2246	2265	2082	2106	10	2181	2066	2174	6	2267	13	2201	2209	2276	2209	2126	3	60	2243	5	1982	4	2107	2209	10	8	2070	2222	2270	19	2206	2200	3113	23	2225	48	2211	16	2079	2215	1984	9	2072	15	2149	14	2225	2332	8	2173	1977	2227	2229	2251	2179	2224	2106	2240	2170	4	2034	10	2254	4	2175	10	19	45	13	5	2086	17	10	2057	2159	1987	12	2147	19	10	11	2232	12	12	2181	12	2191	15	2102	13	2106	13	2216	7	2053	2233	2207	2080
Kleb_pneu_BIDMC_35_V1	2223	2269	2227	2246	2228	2159	2229	2302	2229	2572	2224	2231	2271	2240	2240	2226	2236	52	688	2149	2218	2247	2222	2220	2221	2218	2222	2218	2219	2218	2218	2132	2224	2131	2213	2268	2050	2243	2218	2135	2218	2240	2219	0	2259	2205	2134	2224	2224	2219	2135	2273	2322	2132	2220	2169	2108	2135	2223	2186	2218	2220	2220	368	2225	2224	2221	688	2156	688	2244	2249	2226	2327	2327	2253	2223	2227	2221	2188	2223	318	2162	2230	2159	2236	2192	2237	2262	2238	2110	2246	2227	2229	2236	2248	2223	2112	2111	2112	2181	2230	2237	2208	2260	2215	2112	2111	684	2137	2111	2034	2235	2165	2223	2263	2187	2152	2070	2111	2237	3058	2155	2237	2204	2237	2201	2250	2575	2189	591	2221	2098	44	608	2189	607	2277	2212	2236	2106	2148	2259	2327	1259	2221	2325	2236	2221	2309	2189	2155	575	2453	2258	2218	2164	2228	2267	2328	2325	2184	2244	2227	2234	2133	2099	2223	2306	2228	313	2236	2336	2236	2083	2220	2239	617	2222	2108	2221	2177	2236	2227	2225	2142	2231	2330	2236	2232	2184	3072	2240	2233	2265	2238	2233	2086	2242	2106	2226	2181	2231	2235	2231	693	2355	2225	2190	2165	2250	697	2267	2041	598	2244	2316	2246	2221	2104	2227	2291	2221	2235	2227	2236	2232	2230	2222	2166	2234	2227	2124	2208	2111	2229	2215	2236	2227	2228	2255	2229	2229	2236	2229	2175	2232	2087	2230	2198	2230	47	2224	2155	2256	44	2174
Kleb_pneu_BIDMC_36_V1	2204	2278	2208	2385	2209	2101	2210	2323	2210	2708	2205	2292	2250	2299	2299	2315	2322	2263	2244	2060	2199	2329	2203	2201	2202	2199	2203	2199	2200	2199	2199	2091	2205	2090	2214	2309	2298	2330	2199	2255	2199	2299	2200	2259	0	2244	2093	2205	2205	2200	2094	2163	2363	2085	2201	2193	2194	2094	2204	2252	2199	2201	2201	2268	2206	2205	2202	2248	2225	2248	2336	2196	2207	2278	2408	2278	2204	2208	2202	2224	2204	2281	2240	2289	2101	2295	2165	2296	2304	2297	2194	2328	2208	2302	2295	2213	2204	2196	2195	2196	2256	2211	2296	2370	2342	2286	2196	2195	2244	2100	2195	2237	2294	2107	2204	2349	2296	2138	2179	2195	2296	3174	2177	2296	2322	2296	2280	2290	2714	2275	2269	2280	2205	2253	2288	2298	2287	2376	2221	2295	2028	2136	2298	2272	2211	2202	2270	2325	2202	2362	2225	2350	2273	2518	2299	2199	2100	2209	2309	2273	2311	2180	2284	2208	2312	2093	2206	2204	2359	2209	2276	2295	2322	2295	2201	2201	2204	2293	2203	2032	2202	2153	2295	2208	2206	2048	2214	2317	2215	2321	2285	3202	2221	411	2246	2297	2214	2240	2300	2028	2207	2173	2213	2293	2212	2253	2316	2206	2247	2107	2352	2257	2351	2185	2276	2284	2261	2242	2202	2142	2208	2344	2202	2297	2208	2217	2205	2211	2203	2188	2215	2208	2139	2251	2033	2210	2232	2217	2208	2209	2357	2210	2210	2312	2210	2276	2213	2202	2211	2241	2211	2260	2205	2093	2358	2247	2042
Kleb_pneu_BIDMC_40_V1	2114	2253	2118	2178	2119	2154	2120	2257	2120	2533	2115	2161	1905	2170	2170	2240	2250	2209	2196	2128	2109	2175	2113	2111	2112	2109	2113	2109	2110	2109	2109	2116	2115	2115	2125	2220	2059	2207	2109	2060	2109	2170	2110	2205	2244	0	2118	2115	2115	2110	2119	2177	2255	2120	2111	2148	2097	2119	2114	2204	2109	2111	2111	2197	2116	2115	2112	2198	2095	2198	2294	2161	2117	2246	2342	2200	2114	2118	2112	743	2114	2212	2098	2160	2154	2166	2162	2167	2216	2168	2123	2174	2118	2210	2166	2176	2114	2125	2124	2125	2190	2121	2167	2202	2188	2229	2125	2124	2194	2133	2124	2165	2165	2160	2114	2240	2207	2095	2098	2124	2167	2984	2134	2167	2165	2167	2213	2159	2521	2235	2179	2151	2232	2199	2210	2209	2209	2227	790	2166	2120	2095	2210	2337	2141	2112	2335	2250	2112	2297	2185	2240	2197	2439	2211	2109	2109	2119	2221	2338	2302	2167	2153	2118	2165	2118	2234	2114	2299	2119	2207	2166	2315	2166	2202	2111	2116	2217	2113	2122	2112	2194	2166	2118	2116	2168	2203	2307	2127	2246	2180	3044	2131	2254	2156	2168	2124	2188	2172	2120	2117	2144	2123	2201	2122	2203	2290	2116	2216	2160	2293	2207	2305	2154	2198	2153	2326	2219	2112	2077	2118	2281	2112	2232	2118	2127	2115	2121	2113	2145	2125	2118	2168	2225	2125	2120	805	2127	2118	2119	2298	2120	2120	2165	2120	2171	2123	2059	2121	117	2121	2206	2115	2094	2299	2191	2117
Kleb_pneu_BIDMC_41_V1	2070	2206	2074	2293	2075	2011	2076	2255	2076	2562	2071	2211	2208	2220	2220	2227	2236	2136	2159	1883	2065	2245	2069	2067	2068	2065	2069	2065	2066	2065	2065	20	2071	19	2028	2249	2168	2229	2065	2164	2065	2220	2066	2134	2093	2118	0	2071	2071	2066	1	2094	2260	82	2067	2151	2111	1	2070	2181	2065	2067	2067	2150	2072	2071	2068	2159	2120	2159	2185	2107	2073	2205	2240	2226	2070	2074	2068	2133	2070	2167	2154	2210	2011	2216	2111	2217	2246	2218	2120	2244	2074	2193	2216	2118	2070	2122	2121	2122	2156	2077	2217	2256	2258	2209	2122	2121	2155	167	2121	2195	2215	2017	2070	2260	2211	549	1997	2121	2217	3066	2133	2217	2188	2217	2205	2193	2552	2214	2164	2201	2140	2126	2205	2213	2204	2236	2154	2216	323	547	2242	2136	2098	2068	2134	2235	2068	2337	2142	2182	2192	2476	2241	2065	525	2075	2251	2137	2239	1981	2187	2074	2223	46	2141	2070	2336	2075	2162	2216	2250	2216	2131	2067	2078	2212	2069	331	2068	2090	2216	2074	2072	1992	2195	2245	2083	2233	2209	3063	2087	2092	2112	2218	2080	2138	2221	323	2073	2137	2079	2114	2078	2164	2277	2072	1995	2017	2279	2168	2215	2129	2193	2187	2125	2173	2068	1972	2074	2321	2068	2173	2074	2083	2067	2077	2069	2144	2081	2074	1998	2142	328	2076	2155	2083	2074	2075	2284	2076	2076	2223	2076	2202	2079	2080	2077	2123	2077	2133	2071	470	2285	2122	660
Kleb_pneu_BIDMC_42a_V1	11	2172	15	2246	16	1976	17	2241	17	2541	12	2209	2194	2218	2218	2205	2212	2226	2225	1982	6	2194	10	8	9	6	10	6	7	6	6	2069	14	2068	2174	2257	2135	2151	6	2130	6	2218	7	2224	2205	2115	2071	0	0	7	2072	2104	2227	2071	8	2098	2050	2072	3	2181	6	8	8	2215	3	2	9	2225	2119	2225	2256	2060	14	2242	2270	2201	1	17	9	2098	11	2211	2165	2208	1976	2214	2079	2215	2252	2216	2052	2193	15	2218	2214	2061	11	2054	2053	2054	2198	20	2215	2262	2207	2210	2054	2053	2221	2016	2053	2223	2213	1982	11	2242	2187	2061	2033	2053	2215	3093	2080	2215	2145	2215	2168	2117	2541	2210	2210	2199	2178	2214	2241	2189	2240	2228	2139	2214	1989	2059	2248	2249	2130	9	2253	2215	9	2275	2218	2195	2232	2429	2247	6	2079	16	2257	2250	2270	2089	2111	15	2186	2071	2179	11	2272	18	2206	2214	2281	2214	2131	8	65	2248	10	1987	9	2112	2214	15	13	2075	2227	2275	24	2211	2205	3120	28	2230	53	2216	21	2084	2220	1989	14	2077	20	2154	19	2230	2337	13	2180	1982	2232	2234	2258	2184	2229	2111	2244	2175	9	2039	15	2259	9	2182	15	24	50	18	10	2091	22	15	2062	2164	1992	17	2152	24	15	16	2237	17	17	2186	17	2196	20	2107	18	2111	18	2221	12	2058	2238	2212	2085
Kleb_pneu_BIDMC_42b_V1	11	2172	15	2246	16	1976	17	2241	17	2541	12	2209	2194	2218	2218	2205	2212	2226	2225	1982	6	2194	10	8	9	6	10	6	7	6	6	2069	14	2068	2174	2257	2135	2151	6	2130	6	2218	7	2224	2205	2115	2071	0	0	7	2072	2104	2227	2071	8	2098	2050	2072	3	2181	6	8	8	2215	3	2	9	2225	2119	2225	2256	2060	14	2242	2270	2201	1	17	9	2098	11	2211	2165	2208	1976	2214	2079	2215	2252	2216	2052	2193	15	2218	2214	2061	11	2054	2053	2054	2198	20	2215	2262	2207	2210	2054	2053	2221	2016	2053	2223	2213	1982	11	2242	2187	2061	2033	2053	2215	3093	2080	2215	2145	2215	2168	2117	2541	2210	2210	2199	2178	2214	2241	2189	2240	2228	2139	2214	1989	2059	2248	2249	2130	9	2253	2215	9	2275	2218	2195	2232	2429	2247	6	2079	16	2257	2250	2270	2089	2111	15	2186	2071	2179	11	2272	18	2206	2214	2281	2214	2131	8	65	2248	10	1987	9	2112	2214	15	13	2075	2227	2275	24	2211	2205	3120	28	2230	53	2216	21	2084	2220	1989	14	2077	20	2154	19	2230	2337	13	2180	1982	2232	2234	2258	2184	2229	2111	2244	2175	9	2039	15	2259	9	2182	15	24	50	18	10	2091	22	15	2062	2164	1992	17	2152	24	15	16	2237	17	17	2186	17	2196	20	2107	18	2111	18	2221	12	2058	2238	2212	2085
Kleb_pneu_BIDMC_45_V1	6	2167	10	2241	11	1971	12	2234	12	2534	7	2204	2189	2213	2213	2200	2207	2221	2220	1977	1	2189	5	3	4	1	5	1	0	1	1	2064	9	2063	2169	2252	2130	2146	1	2125	1	2213	0	2219	2200	2110	2066	7	7	0	2067	2099	2222	2066	3	2093	2045	2067	6	2176	1	3	3	2210	8	7	4	2220	2114	2220	2251	2055	9	2237	2265	2194	6	12	4	2093	6	2206	2160	2203	1971	2209	2074	2210	2247	2211	2047	2188	10	2213	2209	2056	6	2049	2048	2049	2193	15	2210	2257	2202	2205	2049	2048	2216	2011	2048	2216	2208	1977	6	2237	2182	2056	2028	2048	2210	3086	2075	2210	2140	2210	2161	2112	2534	2205	2205	2194	2173	2209	2236	2184	2235	2223	2134	2209	1984	2054	2243	2245	2125	4	2249	2210	4	2270	2213	2190	2227	2424	2242	1	2074	11	2252	2246	2265	2082	2106	10	2181	2066	2174	6	2267	13	2201	2209	2276	2209	2126	3	60	2243	5	1982	4	2107	2209	10	8	2070	2222	2270	19	2206	2200	3113	23	2225	48	2211	16	2079	2215	1984	9	2072	15	2149	14	2225	2332	8	2173	1977	2227	2229	2251	2179	2224	2106	2240	2170	4	2034	10	2254	4	2175	10	19	45	13	5	2086	17	10	2057	2159	1987	12	2147	19	10	11	2232	12	12	2181	12	2191	15	2102	13	2106	13	2216	7	2053	2233	2207	2080
